{
    {0, 0, 7, 17, 9, 0, 19, 14, 10, 0, 5, 9, 0, 14, 5, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 5, 0, 20, 8, 10, 0, 7, 17, 12, 0, 8, 19, 13, 0, 0, 0, 0},
    {0, 0, 5, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 5, 0, 0, 0, 0, 0, 0, 15, 10, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0},
    {0, 0, 0, 13, 0, 0, 8, 0, 20, 0, 0, 14, 16, 14, 0, 0, 0, 16, 0, 0, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 0, 15, 6, 0, 5, 0, 20, 20, 0, 11, 5, 15, 0, 0, 0, 0, 0, 0},
    {0, 0, 18, 0, 12, 20, 0, 9, 10, 0, 0, 0, 15, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 17, 0, 0, 10, 0, 0, 0, 0, 0, 0},
    {0, 0, 0, 0, 0, 20, 0, 0, 16, 6, 6, 20, 0, 0, 0, 0, 0, 20, 8, 11, 0, 0, 0, 0, 0, 10, 0, 14, 0, 0, 13, 0, 0, 0, 9, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 0, 0},
    {0, 6, 8, 0, 0, 0, 0, 0, 5, 18, 16, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 13, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0},
    {0, 0, 0, 0, 0, 9, 0, 0, 0, 17, 0, 0, 0, 0, 10, 6, 5, 0, 0, 0, 0, 0, 20, 18, 0, 0, 9, 13, 0, 0, 0, 0, 8, 7, 0, 0, 18, 0, 0, 0, 0, 0, 0, 13, 0, 10, 0, 0},
    {0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 0, 7, 0, 20, 7, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 12, 0, 0, 10, 20, 0, 15, 0, 0, 19, 0, 0, 0, 0, 5, 0, 0, 0, 18, 0, 0, 19},
    {0, 0, 16, 18, 0, 0, 10, 5, 0, 0, 0, 0, 0, 0, 0, 20, 6, 11, 14, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 0, 0, 0, 0, 18, 0, 0, 6, 0, 20, 6, 15, 0, 0, 0, 0, 0, 0, 0},
    {0, 19, 0, 8, 0, 6, 18, 0, 0, 0, 0, 0, 19, 0, 0, 10, 0, 7, 0, 0, 0, 0, 0, 0, 14, 16, 0, 0, 0, 0, 20, 5, 0, 0, 9, 9, 0, 0, 0, 11, 0, 0, 0, 0, 0, 18, 0, 0},
    {0, 0, 0, 8, 0, 0, 19, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 20, 0, 15, 0, 10, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 0, 13, 9, 12, 16, 0, 20, 0, 0, 0},
    {0, 6, 16, 0, 0, 0, 20, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 17, 0, 0, 17, 0, 8, 15, 0, 0, 8, 0, 11, 10, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 0, 0, 20, 0, 0, 18, 9, 0},
